Fecha;Hora_inicio;Hora_fin;Minutos;Promedio_Mbps
4/06/2025;14:12;14:12;1;162.838
4/06/2025;14:18;14:18;1;106.356
4/06/2025;14:24;14:25;2;173.800
4/06/2025;14:39;14:39;1;22.227
4/06/2025;14:57;14:57;1;82.386
4/06/2025;15:21;15:21;1;62.99
4/06/2025;15:37;15:37;1;168.553
5/06/2025;10:42;10:44;3;108.608
5/06/2025;10:49;10:49;1;8.978
5/06/2025;10:52;10:52;1;115.128
5/06/2025;10:54;10:54;1;187.825
5/06/2025;11:02;11:02;1;182.386
5/06/2025;11:18;11:18;1;106.692
5/06/2025;11:20;11:20;1;145.663
10/06/2025;9:19;9:20;2;43.293
10/06/2025;9:22;9:22;1;155.69
10/06/2025;10:11;10:11;1;58.043
10/06/2025;10:14;10:15;2;928.475
10/06/2025;10:35;10:35;1;165.934
10/06/2025;11:05;11:05;1;145.81
10/06/2025;11:09;11:09;1;121.819
10/06/2025;11:31;11:31;1;79.8
10/06/2025;11:51;11:51;1;28.699
10/06/2025;11:54;11:55;2;98.918
10/06/2025;11:59;11:59;1;107.603
10/06/2025;12:06;12:06;1;143.691
10/06/2025;14:22;14:22;1;97.713
10/06/2025;14:36;14:36;1;61.872
10/06/2025;14:52;14:52;1;50.708
10/06/2025;15:02;15:02;1;33.363
10/06/2025;15:04;15:04;1;162.265
10/06/2025;15:07;15:07;1;24.625
10/06/2025;15:11;15:11;1;80.759
10/06/2025;15:14;15:14;1;122.272
10/06/2025;15:16;15:16;1;36.75
11/06/2025;8:42;8:43;2;72.400
11/06/2025;9:19;9:19;1;23.22
11/06/2025;9:34;9:37;4;81.933
11/06/2025;9:39;9:39;1;14.694
11/06/2025;9:51;9:51;1;99.033
11/06/2025;10:02;10:03;2;54.204
11/06/2025;10:09;10:10;2;126.530
11/06/2025;10:15;10:15;1;137.987
11/06/2025;10:18;10:20;3;82.85
11/06/2025;10:30;10:30;1;148.537
11/06/2025;10:41;10:41;1;70.034
11/06/2025;10:44;10:44;1;133.635
11/06/2025;10:48;10:48;1;164.446
11/06/2025;14:45;14:45;1;198.328
12/06/2025;9:24;9:24;1;113.325
12/06/2025;9:29;9:29;1;91.157
12/06/2025;9:44;9:44;1;107.348
12/06/2025;9:59;9:59;1;133.764
12/06/2025;10:35;10:35;1;119.775
12/06/2025;11:16;11:16;1;162.509
12/06/2025;11:22;11:22;1;24.116
12/06/2025;11:30;11:31;2;82.920
12/06/2025;11:33;11:33;1;39.336
13/06/2025;11:22;11:22;1;0.255
13/06/2025;11:24;11:24;1;155.668
16/06/2025;10:09;10:09;1;176.021
16/06/2025;14:19;14:19;1;36.107
17/06/2025;9:19;9:19;1;104.929
17/06/2025;9:52;9:52;1;73.223
17/06/2025;10:02;10:03;2;111.79
17/06/2025;10:08;10:08;1;16.347
17/06/2025;11:08;11:08;1;102.538
17/06/2025;11:11;11:11;1;54.38
17/06/2025;11:23;11:23;1;128.138
17/06/2025;11:26;11:26;1;15.34
17/06/2025;11:34;11:34;1;37.707
17/06/2025;11:36;11:37;2;129.248
17/06/2025;11:42;11:42;1;66.578
17/06/2025;11:45;11:46;2;55
17/06/2025;11:51;11:51;1;121.569
17/06/2025;14:20;14:20;1;82.519
18/06/2025;9:05;9:05;1;133.948
18/06/2025;9:15;9:15;1;105.179
18/06/2025;9:22;9:22;1;179.771
18/06/2025;9:27;9:27;1;149.702
18/06/2025;10:21;10:22;2;138.506
18/06/2025;10:57;10:57;1;47.197
18/06/2025;11:05;11:05;1;116.313
18/06/2025;11:08;11:08;1;75.768
18/06/2025;11:10;11:10;1;179.494
18/06/2025;11:33;11:33;1;23.413
;;;;
;;Total minutos;105;
