Fecha,Hora,Mbps
2025-06-04,14:12,162.838
2025-06-04,14:18,106.356
2025-06-04,14:24,149.473
2025-06-04,14:25,198.274
2025-06-04,14:39,22.227
2025-06-04,14:57,82.386
2025-06-04,15:21,62.99
2025-06-04,15:37,168.553
2025-06-05,10:42,50.107
2025-06-05,10:43,123.632
2025-06-05,10:44,152.086
2025-06-05,10:49,8.978
2025-06-05,10:52,115.128
2025-06-05,10:54,187.825
2025-06-05,11:02,182.386
2025-06-05,11:18,106.692
2025-06-05,11:20,145.663
2025-06-10,09:19,43.507
2025-06-10,09:20,43.079
2025-06-10,09:22,155.69
2025-06-10,10:11,58.043
2025-06-10,10:14,5.144
2025-06-10,10:15,180.551
2025-06-10,10:35,165.934
2025-06-10,11:05,145.81
2025-06-10,11:09,121.819
2025-06-10,11:31,79.8
2025-06-10,11:51,28.699
2025-06-10,11:54,22.622
2025-06-10,11:55,175.214
2025-06-10,11:59,107.603
2025-06-10,12:06,143.691
2025-06-10,14:22,97.713
2025-06-10,14:36,61.872
2025-06-10,14:52,50.708
2025-06-10,15:02,33.363
2025-06-10,15:04,162.265
2025-06-10,15:07,24.625
2025-06-10,15:11,80.759
2025-06-10,15:14,122.272
2025-06-10,15:16,36.75
2025-06-11,08:42,128.211
2025-06-11,08:43,16.591
2025-06-11,09:19,23.22
2025-06-11,09:34,97.998
2025-06-11,09:35,122.857
2025-06-11,09:36,39.735
2025-06-11,09:37,67.145
2025-06-11,09:39,14.694
2025-06-11,09:51,99.033
2025-06-11,10:02,56.47
2025-06-11,10:03,51.939
2025-06-11,10:09,136.902
2025-06-11,10:10,116.164
2025-06-11,10:15,137.987
2025-06-11,10:18,45.676
2025-06-11,10:19,56.358
2025-06-11,10:20,146.516
2025-06-11,10:30,148.537
2025-06-11,10:41,70.034
2025-06-11,10:44,133.635
2025-06-11,10:48,164.446
2025-06-11,14:45,198.328
2025-06-12,09:24,113.325
2025-06-12,09:29,91.157
2025-06-12,09:44,107.348
2025-06-12,09:59,133.764
2025-06-12,10:35,119.775
2025-06-12,11:16,162.509
2025-06-12,11:22,24.116
2025-06-12,11:30,111.457
2025-06-12,11:31,54.385
2025-06-12,11:33,39.336
2025-06-13,11:22,0.255
2025-06-13,11:24,155.668
2025-06-16,10:09,176.021
2025-06-16,14:19,36.107
2025-06-17,09:19,104.929
2025-06-17,09:52,73.223
2025-06-17,10:02,40.537
2025-06-17,10:03,183.043
2025-06-17,10:08,16.347
2025-06-17,11:08,102.538
2025-06-17,11:11,54.38
2025-06-17,11:23,128.138
2025-06-17,11:26,15.34
2025-06-17,11:34,37.707
2025-06-17,11:36,142.892
2025-06-17,11:37,115.604
2025-06-17,11:42,66.578
2025-06-17,11:45,19.952
2025-06-17,11:46,90.332
2025-06-17,11:51,121.569
2025-06-17,14:20,82.519
2025-06-18,09:05,133.948
2025-06-18,09:15,105.179
2025-06-18,09:22,179.771
2025-06-18,09:27,149.702
2025-06-18,10:21,164.702
2025-06-18,10:22,112.31
2025-06-18,10:57,47.197
2025-06-18,11:05,116.313
2025-06-18,11:08,75.768
2025-06-18,11:10,179.494
2025-06-18,11:33,23.413
2025-06-19,09:19,24.517
2025-06-19,11:33,50.879
2025-06-24,09:09,79.667
2025-06-24,09:22,149.868
2025-06-24,09:33,191.317
2025-06-24,09:34,147.209
2025-06-24,09:36,193.906
2025-06-24,09:40,166.971
2025-06-24,09:58,70.069
2025-06-24,10:12,4.448
2025-06-24,10:13,42.472
2025-06-24,10:18,187.783
2025-06-24,10:37,28.268
2025-06-24,11:08,170.598
2025-06-24,11:28,105.375
2025-06-24,11:51,28.391
2025-06-24,12:04,57.278
2025-06-24,14:15,156.183
2025-06-24,14:26,105.931
2025-06-24,14:27,64.278
2025-06-24,14:35,187.688
2025-06-24,14:36,99.352
2025-06-24,14:39,11.12
2025-06-24,14:41,9.839
2025-06-24,14:42,29.123
2025-06-24,15:31,70.846
2025-06-24,15:32,39.454
